group_id,group_title,action_id,action_name,role_id,role_name,raci
discovery_stage,Discovery Stage,discovery_stage__validate_requirements_are_implementation_ready,Validate requirements are implementation-ready,product_owner,Product Owner,A
discovery_stage,Discovery Stage,discovery_stage__validate_requirements_are_implementation_ready,Validate requirements are implementation-ready,team_lead,Team lead,R
discovery_stage,Discovery Stage,discovery_stage__validate_requirements_are_implementation_ready,Validate requirements are implementation-ready,tech_lead,Tech lead,C
discovery_stage,Discovery Stage,discovery_stage__manage_discovery_timeline_prevent_scope_creep,Manage discovery timeline/prevent scope creep,customer,Customer,I
discovery_stage,Discovery Stage,discovery_stage__manage_discovery_timeline_prevent_scope_creep,Manage discovery timeline/prevent scope creep,delivery_manager,Delivery Manager,R
discovery_stage,Discovery Stage,discovery_stage__manage_discovery_timeline_prevent_scope_creep,Manage discovery timeline/prevent scope creep,delivery_manager,Delivery Manager,A
discovery_stage,Discovery Stage,discovery_stage__manage_discovery_timeline_prevent_scope_creep,Manage discovery timeline/prevent scope creep,product_owner,Product Owner,C
discovery_stage,Discovery Stage,discovery_stage__manage_discovery_timeline_prevent_scope_creep,Manage discovery timeline/prevent scope creep,senior_team_lead,Senior Team Lead,I
discovery_stage,Discovery Stage,discovery_stage__manage_discovery_timeline_prevent_scope_creep,Manage discovery timeline/prevent scope creep,team_lead,Team lead,C
discovery_stage,Discovery Stage,discovery_stage__manage_discovery_timeline_prevent_scope_creep,Manage discovery timeline/prevent scope creep,tech_lead,Tech lead,I
discovery_stage,Discovery Stage,discovery_stage__identify_technical_risks_constraints,Identify technical risks/constraints,customer,Customer,I
discovery_stage,Discovery Stage,discovery_stage__identify_technical_risks_constraints,Identify technical risks/constraints,delivery_manager,Delivery Manager,C
discovery_stage,Discovery Stage,discovery_stage__identify_technical_risks_constraints,Identify technical risks/constraints,product_owner,Product Owner,I
discovery_stage,Discovery Stage,discovery_stage__identify_technical_risks_constraints,Identify technical risks/constraints,team_lead,Team lead,C
discovery_stage,Discovery Stage,discovery_stage__identify_technical_risks_constraints,Identify technical risks/constraints,tech_lead,Tech lead,R
discovery_stage,Discovery Stage,discovery_stage__identify_technical_risks_constraints,Identify technical risks/constraints,tech_lead,Tech lead,A
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_iteration_planning,Sprint/iteration planning,delivery_manager,Delivery Manager,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_iteration_planning,Sprint/iteration planning,product_owner,Product Owner,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_iteration_planning,Sprint/iteration planning,team_lead,Team lead,R
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_iteration_planning,Sprint/iteration planning,team_lead,Team lead,A
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_iteration_planning,Sprint/iteration planning,tech_lead,Tech lead,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__backlog_prioritization_team_level,Backlog prioritization (team-level),delivery_manager,Delivery Manager,I
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__backlog_prioritization_team_level,Backlog prioritization (team-level),product_owner,Product Owner,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__backlog_prioritization_team_level,Backlog prioritization (team-level),team_lead,Team lead,R
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__backlog_prioritization_team_level,Backlog prioritization (team-level),team_lead,Team lead,A
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__backlog_prioritization_team_level,Backlog prioritization (team-level),tech_lead,Tech lead,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__cross_team_priority_conflicts,Cross-team priority conflicts,delivery_manager,Delivery Manager,R
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__cross_team_priority_conflicts,Cross-team priority conflicts,delivery_manager,Delivery Manager,A
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__cross_team_priority_conflicts,Cross-team priority conflicts,product_owner,Product Owner,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__cross_team_priority_conflicts,Cross-team priority conflicts,senior_team_lead,Senior Team Lead,I
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__cross_team_priority_conflicts,Cross-team priority conflicts,team_lead,Team lead,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__cross_team_priority_conflicts,Cross-team priority conflicts,tech_lead,Tech lead,I
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__story_sizing_and_estimation,Story sizing and estimation,delivery_manager,Delivery Manager,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__story_sizing_and_estimation,Story sizing and estimation,product_owner,Product Owner,I
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__story_sizing_and_estimation,Story sizing and estimation,senior_team_lead,Senior Team Lead,I
